"","id","artistName","trackName","time","date","duration","msPlayed","percent_song","endTime"
"118","6dN6k8fcjeB3Z2zLnxeyhP","Ammy Virk","Daryaa",14:03:00,2020-05-05,261918,293,0,2020-05-05 14:03:00
"119","2LcXJP95e4HKydTZ2mYfrx","Roop Kumar Rathod","Tujh Mein Rab Dikhta Hai",14:03:00,2020-05-05,281573,0,0,2020-05-05 14:03:00
"120","2UKK9UEbKlykbmLVP1zWIQ","Sukhwinder Singh","Haule Haule",15:52:00,2020-05-05,263967,0,0,2020-05-05 15:52:00
"121","1R7ChEm1x3mGhDWXKnPSXn","Benny Dayal","Daaru Desi (From ""Cocktail"")",16:19:00,2020-05-05,269589,744,0,2020-05-05 16:19:00
"122","0Bph99neebTJZ6rsIhd0sN","Jubin Nautiyal","Kaabil Hoon",17:04:00,2020-05-05,314062,377,0,2020-05-05 17:04:00
"123","5cgKosPPj5Cs9a2JQufUc1","Pritam","Ilahi",17:08:00,2020-05-05,228982,1137,0,2020-05-05 17:08:00
"124","4vwPirpSJCOiIsgxMV4Xcv","Ritviz","Liggi",16:52:00,2020-05-06,181176,326888,180,2020-05-06 16:52:00
"125","4JQxGJ8jsKW8pOUVoAgOZr","Amit Trivedi","Naina Da Kya Kasoor",16:52:00,2020-05-06,210951,7211,3,2020-05-06 16:52:00
"126","5BIYVps82q4xOFgv5mUcJQ","The Local Train","Yeh Zindagi Hai - Demo",04:03:00,2020-05-07,260381,260381,100,2020-05-08 04:03:00
"127","6ZmtxXUXRVjxOhugKkmerC","The Local Train","Dil Mere",03:32:00,2020-05-07,211290,211290,100,2020-05-08 03:32:00
"128","6IskNuvBwK8YzFrjvXIp5h","The Local Train","Yeh Zindagi Hai",04:07:00,2020-05-07,249160,249160,100,2020-05-08 04:07:00
"129","2qgXrzJsry4KgYoJCpuaul","The Local Train","Choo Lo",04:11:00,2020-05-07,233630,233630,100,2020-05-08 04:11:00
"130","4LtSTc3xANVhYeeN69nscM","The Local Train","Aaftaab",04:15:00,2020-05-07,233471,233471,100,2020-05-08 04:15:00
"131","0ke4LdLYRcNHY03nlYyN47","The Local Train","Kaisey Jiyun - Acoustic",03:35:00,2020-05-07,219583,219583,100,2020-05-08 03:35:00
"132","3Gc4zbfvgZSBEfpd0aWEFb","The Local Train","Khudi",03:40:00,2020-05-07,297642,297642,100,2020-05-08 03:40:00
"133","3uIemACmoVRUvjZBrqXbWk","The Local Train","Gustaakh",03:43:00,2020-05-07,184320,184320,100,2020-05-08 03:43:00
"134","0vCxpIQ1ypPPasPuksuKBX","The Local Train","Vaaqif",03:50:00,2020-05-07,380927,380927,100,2020-05-08 03:50:00
"135","0PivOoKM1sECNTsZ7K6N3h","The Local Train","Mizaaj",03:54:00,2020-05-07,263509,263509,100,2020-05-08 03:54:00
"136","67mmy7Mhim6DmeFHHoqptH","The Local Train","Aakhri Salaam",03:59:00,2020-05-07,277432,277432,100,2020-05-08 03:59:00
"137","5VSJ9OfZx8V91A7u8Fuoh1","The Local Train","Aaoge Tum Kabhi",04:30:00,2020-05-07,313163,254629,81,2020-05-08 04:30:00
"138","3cFbAzmdJFaHWQpJEg2n7h","The Local Train","Manzil",03:27:00,2020-05-07,260628,581,0,2020-05-08 03:27:00
"139","6wxm92a18bGEP5N4QusCIx","The Local Train","Mere Yaar",03:27:00,2020-05-07,286720,776,0,2020-05-08 03:27:00
"140","1H5TcdTdMYvOfJ31SAA6H5","The Local Train","Kaisey Jiyun",03:27:00,2020-05-07,239085,1147,0,2020-05-08 03:27:00
